img/tilesMaps2.png
17,13 18,13 19,13 20,13 21,13 22,17 23,17 24,17 25,17 11,17 12,17 13,17 14,17 21,17 22,17 17,13 18,13 19,13 20,13 21,13 12,17 13,17 14,17 22,17 23,17 17,17 18,17 23,13 24,13 25,13 26,13 24,17 24,17 25,17 17,17 18,17 19,17 20,17 21,17 22,17 23,17 24,17 25,17 17,17 18,17 19,17 20,17 21,17 22,17 23,17
17,14 18,14 19,14 20,14 21,14 22,18 23,18 24,18 25,18 11,18 12,18 13,18 14,18 21,18 22,18 17,14 18,14 19,14 20,14 21,14 12,18 13,18 14,18 22,18 23,18 17,18 18,18 23,14 24,14 25,14 26,14 24,18 24,18 25,18 17,18 18,18 19,18 20,18 21,18 22,18 23,18 24,18 25,18 17,18 18,18 19,18 20,18 21,18 22,18 23,18
17,15 18,15 19,15 20,15 21,15 22,19 23,19 24,19 25,19 11,19 12,19 13,19 14,19 21,19 22,19 17,15 18,15 19,15 20,15 21,15 12,19 13,19 14,19 22,19 23,19 17,19 18,19 23,15 24,15 25,15 26,15 24,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19
17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 11,19 12,19 13,19 14,19 21,19 22,19 23,19 24,19 25,19 17,19 11,19 12,19 13,19 14,19 22,19 23,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19
49,13 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,17 50,17 49,13 50,13 49,13 50,13 49,13 50,13 50,13 50,13 50,13 49,18 49,18 50,13 49,13 49,13 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,17 50,17 49,13 50,13 49,13 50,13 49,13 50,13 50,13 49,13 50,13 49,18 49,18 49,13 50,13
49,13 50,17 49,17 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,18 50,18 49,13 50,13 49,13 50,13 49,13 50,13 50,13 50,13 50,13 49,13 49,13 49,17 50,17 49,13 49,17 50,17 50,13 49,13 50,13 49,13 50,13 49,13 50,13 49,18 50,18 49,13 50,13 49,13 50,13 49,13 50,13 50,13 49,13 50,13 49,13 49,13 49,13 50,13
49,14 50,18 49,18 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 50,14 50,14 49,20 50,20 50,14 50,14 49,14 49,14 49,18 50,18 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 50,14 49,14 49,20 50,20 50,14 50,14 49,14
49,13 50,21 49,21 50,13 49,13 50,13 49,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 49,21 50,17 50,17 50,13 50,13 50,21 50,21 50,13 50,13 50,13 49,13 49,13 50,21 50,21 50,13 49,13 50,13 50,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 50,21 49,17 50,17 50,13 50,13 50,21 50,21 49,13 50,13 50,13 49,13
49,13 50,21 49,21 50,13 49,13 50,13 49,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 49,21 50,17 50,17 50,13 50,13 50,21 50,21 50,13 50,13 50,13 49,13 49,13 50,21 50,21 50,13 49,13 50,13 50,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 50,21 49,17 50,17 50,13 50,13 50,21 50,21 49,13 50,13 50,13 49,13
49,14 50,18 49,18 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 50,14 50,14 50,20 50,20 50,14 50,14 49,14 49,14 49,18 50,18 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 49,14 50,14 50,14 49,14 49,20 50,20 50,14 50,14 49,14
49,13 50,21 49,21 50,13 49,13 50,13 49,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 49,21 50,17 50,17 50,13 50,13 50,21 50,21 50,13 50,13 50,13 49,13 49,13 50,21 50,21 50,13 49,13 50,13 50,21 50,21 49,13 50,13 49,13 50,13 49,13 50,21 50,21 49,17 50,17 50,13 50,13 50,21 50,21 49,13 50,13 50,13 49,13
